City,IATA,ICAO,Name
Birmingham,BHM,KBHM,Birmingham–Shuttlesworth International Airport
Dothan,DHN,KDHN,Dothan Regional Airport
Huntsville,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field)
Mobile,MOB,KMOB,Mobile Regional Airport
Montgomery,MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
Anchorage,,PALH,Lake Hood Seaplane Base (also Lake Hood Airstrip)
Anchorage,MRI,PAMR,Merrill Field
Anchorage,ANC,PANC,Ted Stevens Anchorage International Airport
Aniak,ANI,PANI,Aniak Airport
Bethel,BET,PABE,Bethel Airport (also see Bethel Seaplane Base)
Cordova,CDV,PACV,Merle K. (Mudhole) Smith Airport
Deadhorse,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport)
Dillingham,DLG,PADL,Dillingham Airport
Fairbanks,FAI,PAFA,Fairbanks International Airport
Gustavus,GST,PAGS,Gustavus Airport
Homer,HOM,PAHO,Homer Airport
Juneau,JNU,PAJN,Juneau International Airport
Kenai,ENA,PAEN,Kenai Municipal Airport
Ketchikan,KTN,PAKT,Ketchikan International Airport
King Salmon,AKN,PAKN,King Salmon Airport
Klawock,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base)
Kodiak,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport)
Kotzebue,OTZ,PAOT,Ralph Wien Memorial Airport
Nome,OME,PAOM,Nome Airport
Petersburg,PSG,PAPG,Petersburg James A. Johnson Airport
St. Mary's,KSM,PASM,St. Mary's Airport
Sitka,SIT,PASI,Sitka Rocky Gutierrez Airport
Unalakleet,UNK,PAUN,Unalakleet Airport
Unalaska,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport)
Utqiaġvik (Barrow),BRW,PABR,Wiley Post–Will Rogers Memorial Airport
Valdez,VDZ,PAVD,Valdez Airport (Pioneer Field)
Wrangell,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base)
Yakutat,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base)
Bullhead City,IFP,KIFP,Laughlin/Bullhead International Airport
Flagstaff,FLG,KFLG,Flagstaff Pulliam Airport
Grand Canyon,GCN,KGCN,Grand Canyon National Park Airport
Mesa,AZA,KIWA,Phoenix–Mesa Gateway Airport (formerly Williams AFB)
Page,PGA,KPGA,Page Municipal Airport
Phoenix,PHX,KPHX,Phoenix Sky Harbor International Airport
Prescott,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field)
Tucson,TUS,KTUS,Tucson International Airport
Yuma,YUM,KNYL,Yuma International Airport / MCAS Yuma
Fayetteville,XNA,KXNA,Northwest Arkansas National Airport
Fort Smith,FSM,KFSM,Fort Smith Regional Airport
Little Rock,LIT,KLIT,Clinton National Airport (Adams Field) (was Little Rock National)
Texarkana,TXK,KTXK,Texarkana Regional Airport (Webb Field)
Arcata/Eureka,ACV,KACV,Arcata Airport
Bakersfield,BFL,KBFL,Meadows Field
Burbank,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport)
Concord,CCR,KCCR,Buchanan Field Airport
Fresno,FAT,KFAT,Fresno Yosemite International Airport
Long Beach,LGB,KLGB,Long Beach Airport (Daugherty Field)
Los Angeles,LAX,KLAX,Los Angeles International Airport
Mammoth Lakes,MMH,KMMH,Mammoth Yosemite Airport
Monterey,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport)
Oakland,OAK,KOAK,Oakland International Airport
Ontario,ONT,KONT,Ontario International Airport
Orange County,SNA,KSNA,John Wayne Airport (was Orange County Airport)
Palm Springs,PSP,KPSP,Palm Springs International Airport
Redding,RDD,KRDD,Redding Municipal Airport
Sacramento,SMF,KSMF,Sacramento International Airport
San Diego,SAN,KSAN,San Diego International Airport (Lindbergh Field)
