city,state_id,latitude,longitude,population,station,distance
Chicago,IL,41.8373,-87.6862,8604203,USC00111550,0.078996772
Boston,MA,42.3188,-71.0846,4688346,USC00193890,0.042596654
San Francisco,CA,37.7562,-122.443,3592294,USW00023272,0.021533695
Minneapolis,MN,44.9635,-93.2678,2977172,USC00214884,0.025667489
Denver,CO,39.7621,-104.8759,2876625,USW00023062,0.008363373
Riverside,CA,33.9381,-117.3948,2107852,USC00047470,0.01467106
Las Vegas,NV,36.2333,-115.2654,2104198,USC00262243,0.225634949
Portland,OR,45.5372,-122.65,2074775,USC00356749,0.0437855
St. Louis,MO,38.6358,-90.2451,2024074,USC00237452,0.02615433
Austin,TX,30.3004,-97.7522,1687311,USW00013958,0.021986359
Manhattan,NY,40.7834,-73.9662,1628706,USW00094728,0.005370186
Bronx,NY,40.8501,-73.8662,1418207,USW00014732,0.072037403
Salt Lake City,UT,40.7777,-111.9306,1098526,USW00024127,0.035136377
Nashville,TN,36.1715,-86.7843,1081903,USC00408238,0.059844131
Memphis,TN,35.1046,-89.9773,1066967,USW00013893,0.04906133
Raleigh,NC,35.8325,-78.6435,1038738,USC00317079,0.069208272
Oklahoma City,OK,35.4676,-97.5136,972943,USW00013967,0.117445525
Bridgeport,CT,41.1918,-73.1953,924449,USW00094702,0.07398479
Honolulu,HI,21.3294,-157.846,820987,USC00518815,0.043083756
McAllen,TX,26.2273,-98.2471,804114,USW00012959,0.048250103
Albuquerque,NM,35.1053,-106.6464,761195,USC00297461,0.044409362
Dayton,OH,39.7797,-84.1998,718353,USC00332067,0.009565192
Tulsa,OK,36.1284,-95.9042,671033,USW00013968,0.07478651
Albany,NY,42.6664,-73.7987,586383,USW00014735,0.080821144
Ogden,UT,41.2278,-111.9682,578523,USC00426405,0.035983607
Mesa,AZ,33.4017,-111.718,518012,USC00022782,0.07562883
Palm Bay,FL,27.955,-80.6627,507002,USC00086761,0.043202474
Provo,UT,40.2457,-111.6457,500617,USC00427064,0.00510098
Worcester,MA,42.2705,-71.8079,498328,USW00094746,0.065220012
Wichita,KS,37.6896,-97.3442,482249,USC00148847,0.104617398
Des Moines,IA,41.5725,-93.6105,473957,USW00014933,0.057475381
Denton,TX,33.2176,-97.1419,457177,USC00412404,0.041367258
Harrisburg,PA,40.2752,-76.8843,442289,USC00363698,0.015267488
Oakland,CA,37.7903,-122.2165,433031,USC00049185,0.052340806
Indio,CA,33.7346,-116.2346,417059,USC00044259,0.032440099
Lancaster,PA,40.0421,-76.3012,401524,USC00364763,0.028104092
Augusta,GA,33.3645,-82.0708,390809,USW00003820,0.107272092
Boise,ID,43.6007,-116.2312,389280,USC00101024,0.038497403
Kissimmee,FL,28.3042,-81.4164,382720,USC00084625,0.028916604
Fayetteville,AR,36.0713,-94.166,351246,USC00032444,0.030708144
Pensacola,FL,30.4427,-87.1886,346921,USW00013899,0.035440796
Lancaster,CA,34.6935,-118.1753,343304,USW00003159,0.060529386
Greensboro,NC,36.0956,-79.8269,343090,USC00313625,0.025643904
Corpus Christi,TX,27.726,-97.3755,342464,USC00412013,0.069260378
Santa Ana,CA,33.7366,-117.8819,332318,USC00047888,0.016994117
Jackson,MS,32.3163,-90.2124,325350,USW00013927,0.023086524
Santa Rosa,CA,38.4458,-122.7067,324634,USC00047965,0.012000942
Ann Arbor,MI,42.2755,-83.7312,322267,USC00200228,0.050848992
Fort Collins,CO,40.5478,-105.0656,312666,USC00053005,0.034874919
Asheville,NC,35.5704,-82.5536,312507,USW00013872,0.025203968
Anchorage,AK,61.1508,-149.1091,288000,USC00502642,0.182032552
Irvine,CA,33.6772,-117.7738,287401,USC00044303,0.066426501
South Bend,IN,41.6767,-86.2696,280498,USW00014848,0.055771792
Shreveport,LA,32.4656,-93.7956,280062,USC00168448,0.048171465
Myrtle Beach,SC,33.7096,-78.8843,275579,USC00386153,0.076816665
Lubbock,TX,33.5659,-101.8878,267648,USC00415409,0.039604567
Salem,OR,44.9231,-123.0246,266804,USW00024232,0.029791161
Lafayette,LA,30.2084,-92.0323,264357,USW00013976,0.043841635
Laredo,TX,27.5629,-99.4875,262491,USC00415060,0.012030794
Concord,NC,35.3933,-80.6366,261801,USC00311975,0.075586153
Columbus,GA,32.51,-84.8771,261445,USW00093842,0.065379423
Scottsdale,AZ,33.6872,-111.8651,258069,USC00026603,0.040561681
Tallahassee,FL,30.4551,-84.2526,257601,USW00093805,0.116375131
Peoria,IL,40.752,-89.6153,256286,USC00116710,0.00559464
Montgomery,AL,32.3473,-86.2666,254634,USC00015553,0.099916215
Chesapeake,VA,36.6778,-76.3024,244835,USC00448837,0.159357209
Barnstable,MA,41.6722,-70.3599,242847,USC00193821,0.056572962
Norfolk,VA,36.8945,-76.259,242742,USC00446147,0.038372516
Visalia,CA,36.3276,-119.3269,237386,USC00049367,0.027209794
Atlantic City,NJ,39.3797,-74.4527,237054,USW00013724,0.029153293
Paradise,NV,36.0807,-115.1369,235087,USW00023169,0.027951402
Nashua,NH,42.7491,-71.491,233917,USC00275703,0.0180801
Evansville,IN,37.9881,-87.5341,230427,USC00122731,0.045284793
Gulfport,MS,30.4271,-89.0703,220987,USW00093874,0.018384692
Appleton,WI,44.2779,-88.3891,220570,USC00470265,0.048627783
Tacoma,WA,47.2431,-122.4531,217827,USC00458278,0.041104988
College Station,TX,30.5852,-96.296,215243,USW00003904,0.067357762
Amarillo,TX,35.1988,-101.8311,205603,USC00410213,0.126525966
Santa Barbara,CA,34.4285,-119.7202,202401,USC00047902,0.037694562
Gainesville,FL,29.6804,-82.3458,202335,USW00012816,0.070679155
Frisco,TX,33.1555,-96.8215,200490,USC00413370,0.046624672
Norwich,CT,41.5495,-72.0882,200289,USC00065910,0.032336835
Aurora,IL,41.7637,-88.2901,197757,USC00110338,0.025395765
Tempe,AZ,33.3881,-111.9318,195805,USC00028499,0.039055473
Waco,TX,31.5598,-97.1881,192315,USW00013959,0.070700959
Salinas,CA,36.6884,-121.6317,190972,USW00023233,0.033491354
Clarksville,TN,36.5695,-87.342,188746,USC00401795,0.072287437
Sioux Falls,SD,43.5397,-96.732,187239,USW00014944,0.043679435
Hagerstown,MD,39.6401,-77.7217,184755,USC00181790,0.023921204
Vancouver,WA,45.6366,-122.5967,184463,USW00024229,0.042688084
Spartanburg,SC,34.9437,-81.9257,182701,USC00388188,0.037915828
Murfreesboro,TN,35.8492,-86.4119,179951,USC00406374,0.038724364
High Point,NC,35.9907,-79.9938,179913,USC00314063,0.032676238
Danbury,CT,41.4016,-73.471,176030,USC00061762,0.049830811
Enterprise,NV,36.0164,-115.2208,171108,USC00264439,0.047183154
Cary,NC,35.782,-78.8191,170282,USC00311535,0.069492787
Fredericksburg,VA,38.2992,-77.4872,168909,USC00443204,0.038329362
Gainesville,GA,34.2903,-83.8301,167371,USC00093621,0.031624358
Manchester,NH,42.9848,-71.4447,162877,USC00275211,0.051679203
Lake Charles,LA,30.2012,-93.2122,156181,USC00165076,0.039373214
Odessa,TX,31.8831,-102.3406,155998,USC00416506,0.049769067
Palmdale,CA,34.5944,-118.1057,155079,USC00046624,0.01337236
Hollywood,FL,26.0294,-80.1679,154817,USC00084050,0.033824991
Midland,TX,32.0249,-102.1137,154793,USW00023023,0.122428272
Port Arthur,TX,29.8554,-93.9264,154468,USC00417172,0.066123823
Escondido,CA,33.1347,-117.0722,151625,USC00042863,0.022461745
Fairfield,CA,38.2592,-122.0324,148683,USC00042934,0.038124139
Elkhart,IN,41.6916,-85.9628,147567,USC00122594,0.041746856
Beaumont,TX,30.0849,-94.1451,146091,USC00410611,0.046959131
Merced,CA,37.3057,-120.4778,145149,USC00045532,0.04158858
Tyler,TX,32.3184,-95.3062,143796,USC00419207,0.018146349
