,city,state_id,latitude,longitude,population,station,distance
61,Birmingham,AL,33.5277,-86.7987,739573,USW00013876,0.065722922
139,Huntsville,AL,34.6988,-86.6412,319249,USC00016196,0.24456173
181,Montgomery,AL,32.3473,-86.2666,254634,USC00018038,0.112046508
282,Tuscaloosa,AL,33.2348,-87.5267,155499,USC00013930,0.078899556
506,Auburn,AL,32.6087,-85.4899,92777,USC00016129,0.064859386
654,Anniston,AL,33.6712,-85.8136,73501,USC00013775,0.206034605
671,Dothan,AL,31.2335,-85.4069,72396,USC00013761,0.14545391
680,Daphne,AL,30.6286,-87.8866,71484,USC00010583,0.274792867
706,Decatur,AL,34.573,-86.9906,68867,USC00015635,0.319793246
812,Gadsden,AL,34.009,-86.0156,60944,USC00013154,0.030647186
963,Madison,AL,34.7114,-86.7626,51593,USW00003856,0.071339176
1265,Enterprise,AL,31.3276,-85.8459,38914,USC00013251,0.290369592
1298,Albertville,AL,34.2634,-86.2107,37775,USC00018648,0.219503371
1362,Prattville,AL,32.4605,-86.4588,35957,USC00010823,0.333626992
1374,LaGrange,GA,33.0274,-85.0384,35721,USC00017025,0.284453247
1422,Vestavia Hills,AL,33.4518,-86.7438,34413,USC00011225,0.028000179
1466,Alabaster,AL,33.2198,-86.8225,33487,USW00053864,0.058105257
1552,Athens,AL,34.7847,-86.951,31187,USC00010655,0.11795834
1557,Columbus,MS,33.5088,-88.4096,31084,USC00018517,0.364231479
1565,Opelika,AL,32.6612,-85.3769,30908,USC00014502,0.252157451
1819,Bessemer,AL,33.3709,-86.9713,26472,USC00018809,0.296178606
1840,Northport,AL,33.2589,-87.5984,26115,USC00018673,0.536962325
2105,Pace,FL,30.6187,-87.1667,22860,USC00018637,0.591323811
2123,Fairhope,AL,30.5217,-87.8815,22677,USC00012813,0.025112746
2128,Trussville,AL,33.6404,-86.5819,22635,USC00016121,0.328162395
2257,Oxford,AL,33.5967,-85.8687,21225,USW00013871,0.021743627
2408,Helena,AL,33.2845,-86.8756,19925,USC00013781,0.043671044
2409,Cullman,AL,34.1777,-86.8407,19920,USC00018812,0.099842817
2427,Selma,AL,32.4166,-87.0336,19775,USC00017366,0.02
2507,Troy,AL,31.8021,-85.9665,18957,USC00018323,0.007851751
2680,Tillmans Corner,AL,30.5818,-88.2128,17560,USW00013894,0.111443907
2756,Sylacauga,AL,33.1778,-86.2606,16982,USC00017999,0.056363907
2911,Millbrook,AL,32.5028,-86.3737,15896,USC00018859,0.226353926
2981,Talladega,AL,33.4329,-86.0976,15457,USC00018024,0.040918455
2999,Hueytown,AL,33.4237,-87.022,15322,USC00010764,0.031886361
3082,Calera,AL,33.1249,-86.745,14717,USC00018209,0.217451144
3093,Saraland,AL,30.8478,-88.1004,14649,USC00014193,0.699164888
3100,Gonzalez,FL,30.5822,-87.2906,14598,USC00010402,0.617885588
3103,Muscle Shoals,AL,34.7436,-87.6344,14575,USC00017131,0.253130816
3122,Scottsboro,AL,34.6438,-86.0491,14436,USC00017304,0.03013785
3142,Alexander City,AL,32.9242,-85.9361,14317,USC00018653,0.225442254
3191,Fort Payne,AL,34.4557,-85.6965,14074,USC00013043,0.031022895
3201,Pell City,AL,33.5609,-86.2669,14045,USC00016760,0.168199916
3324,Jasper,AL,33.8503,-87.2708,13431,USC00016001,0.17031381
3399,Moody,AL,33.5986,-86.4963,13065,USC00017734,0.187628949
3511,Jacksonville,AL,33.8088,-85.7545,12544,USC00014209,0.031637399
3567,Winchester,TN,35.1898,-86.1074,12299,USC00011099,0.372302297
3715,Eufaula,AL,31.9102,-85.1505,11709,USC00015397,0.346607246
3893,Lawrenceburg,TN,35.2497,-87.3325,11035,USC00010260,0.289550039
4017,Milton,FL,30.6286,-87.0522,10523,USC00011080,0.512712639
4117,Pike Road,AL,32.2934,-86.0902,10159,USC00015172,0.095799896
