city,state_id,state_name,latitude,longitude,population
New York,NY,New York,40.6943,-73.9249,18713220
Los Angeles,CA,California,34.1139,-118.4068,12750807
Chicago,IL,Illinois,41.8373,-87.6862,8604203
Miami,FL,Florida,25.7839,-80.2102,6445545
Dallas,TX,Texas,32.7936,-96.7662,5743938
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5649300
Houston,TX,Texas,29.7863,-95.3889,5464251
Atlanta,GA,Georgia,33.7627,-84.4224,5449398
Washington,DC,District of Columbia,38.9047,-77.0163,5379184
Boston,MA,Massachusetts,42.3188,-71.0846,4688346
Phoenix,AZ,Arizona,33.5722,-112.0891,4219697
Seattle,WA,Washington,47.6211,-122.3244,3789215
San Francisco,CA,California,37.7562,-122.443,3592294
Detroit,MI,Michigan,42.3834,-83.1024,3506126
San Diego,CA,California,32.8312,-117.1225,3220118
Minneapolis,MN,Minnesota,44.9635,-93.2678,2977172
Tampa,FL,Florida,27.9942,-82.4451,2908063
Denver,CO,Colorado,39.7621,-104.8759,2876625
Brooklyn,NY,New York,40.6501,-73.9496,2559903
Queens,NY,New York,40.7498,-73.7976,2230722
Riverside,CA,California,33.9381,-117.3948,2107852
Baltimore,MD,Maryland,39.3051,-76.6144,2106068
Las Vegas,NV,Nevada,36.2333,-115.2654,2104198
Portland,OR,Oregon,45.5372,-122.65,2074775
San Antonio,TX,Texas,29.4658,-98.5253,2049293
St. Louis,MO,Missouri,38.6358,-90.2451,2024074
Sacramento,CA,California,38.5667,-121.4683,1898019
Orlando,FL,Florida,28.4772,-81.3369,1822394
San Jose,CA,California,37.3019,-121.8486,1798103
Cleveland,OH,Ohio,41.4767,-81.6804,1710093
Pittsburgh,PA,Pennsylvania,40.4396,-79.9762,1703266
Austin,TX,Texas,30.3004,-97.7522,1687311
Cincinnati,OH,Ohio,39.1413,-84.5061,1662691
Kansas City,MO,Missouri,39.1239,-94.5541,1636715
Manhattan,NY,New York,40.7834,-73.9662,1628706
Indianapolis,IN,Indiana,39.7771,-86.1458,1588961
Columbus,OH,Ohio,39.9862,-82.985,1562009
Charlotte,NC,North Carolina,35.208,-80.8304,1512923
Virginia Beach,VA,Virginia,36.7335,-76.0435,1478868
Bronx,NY,New York,40.8501,-73.8662,1418207
Milwaukee,WI,Wisconsin,43.0642,-87.9673,1365787
Providence,RI,Rhode Island,41.823,-71.4187,1203230
Jacksonville,FL,Florida,30.3322,-81.6749,1181496
Salt Lake City,UT,Utah,40.7777,-111.9306,1098526
Nashville,TN,Tennessee,36.1715,-86.7843,1081903
Richmond,VA,Virginia,37.5295,-77.4756,1075798
Memphis,TN,Tennessee,35.1046,-89.9773,1066967
Raleigh,NC,North Carolina,35.8325,-78.6435,1038738
New Orleans,LA,Louisiana,30.0687,-89.9288,1020886
Louisville,KY,Kentucky,38.1663,-85.6485,1005654
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,972943
Bridgeport,CT,Connecticut,41.1918,-73.1953,924449
Buffalo,NY,New York,42.9016,-78.8487,914341
Fort Worth,TX,Texas,32.7811,-97.3473,909585
Hartford,CT,Connecticut,41.7661,-72.6834,905152
Tucson,AZ,Arizona,32.1545,-110.8782,888486
Omaha,NE,Nebraska,41.2627,-96.0522,847819
El Paso,TX,Texas,31.8479,-106.4309,843386
Honolulu,HI,Hawaii,21.3294,-157.846,820987
McAllen,TX,Texas,26.2273,-98.2471,804114
Albuquerque,NM,New Mexico,35.1053,-106.6464,761195
Birmingham,AL,Alabama,33.5277,-86.7987,739573
Sarasota,FL,Florida,27.3386,-82.5431,722243
Dayton,OH,Ohio,39.7797,-84.1998,718353
Rochester,NY,New York,43.168,-77.6162,703952
Fresno,CA,California,36.7831,-119.7941,703498
Allentown,PA,Pennsylvania,40.5961,-75.4756,683794
Tulsa,OK,Oklahoma,36.1284,-95.9042,671033
Cape Coral,FL,Florida,26.6446,-81.9956,668382
Concord,CA,California,37.9722,-122.0016,652308
Colorado Springs,CO,Colorado,38.8674,-104.7606,642413
Charleston,SC,South Carolina,32.8153,-79.9628,628377
Springfield,MA,Massachusetts,42.1155,-72.5395,623401
Grand Rapids,MI,Michigan,42.962,-85.6562,609314
Mission Viejo,CA,California,33.6095,-117.655,590249
Albany,NY,New York,42.6664,-73.7987,586383
Knoxville,TN,Tennessee,35.9692,-83.9496,586048
Bakersfield,CA,California,35.3529,-119.0359,579295
Ogden,UT,Utah,41.2278,-111.9682,578523
Baton Rouge,LA,Louisiana,30.4418,-91.131,570308
Akron,OH,Ohio,41.0798,-81.5219,565208
New Haven,CT,Connecticut,41.3112,-72.9246,564830
Columbia,SC,South Carolina,34.0376,-80.9037,560041
Mesa,AZ,Arizona,33.4017,-111.718,518012
