index,flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
0,01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T14:29:00+00:00,Lehigh Valley International,KABE,ABE,KLM,KLM,5532,KL5532,KLM5532,42.2162491,-83.3553642,40.6510611,-75.4438853
1,01/01/2022,Quad-City,KMLI,MLI,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2228,AF2228,AFR2228,41.4496341,-90.5082706,33.6407282,-84.4277001
2,01/01/2022,Dallas/Fort Worth International,KDFW,DFW,,Quad-City,KMLI,MLI,Qatar Airways,QTR,9060,QR9060,QTR9060,32.8998091,-97.0403352,41.4496341,-90.5082706
3,01/01/2022,Chicago O'hare International,KORD,ORD,2022-01-01T14:47:00+00:00,Philadelphia International,KPHL,PHL,United Airlines,UAL,578,UA578,UAL578,41.98028,-87.9089979,39.8729299,-75.2436673
4,01/01/2022,Hilton Head,KHXD,HHH,2022-01-01T11:33:00+00:00,Nashville International,KBNA,BNA,empty,,,,,32.2248476,-80.6971648,36.126317,-86.6773713
5,01/01/2022,Bradley International,KBDL,BDL,2022-01-01T13:39:00+00:00,Gallatin Field,KBZN,BZN,NetJets Aviation,EJA,607,1I607,EJA607,41.9388735,-72.6860314,45.7784043,-111.1612273
6,01/01/2022,Hector Field,KFAR,FAR,2022-01-01T14:11:00+00:00,Municipal/Baer Field,KFWA,FWA,United Airlines,UAL,6973,UA6973,UAL6973,46.9218308,-96.8167025,40.9774796,-85.1960362
7,01/01/2022,Ted Stevens Anchorage International Airport,PANC,ANC,2022-01-01T09:52:00+00:00,Chicago O'hare International,KORD,ORD,Atlas Air,GTI,7832,5Y7832,GTI7832,61.1758863,-149.9900791,41.98028,-87.9089979
8,01/01/2022,Savannah/Hilton Head,KSAV,SAV,2022-01-01T15:21:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,4212,AS4212,ASA4212,32.1294267,-81.2018521,32.8998091,-97.0403352
9,01/01/2022,Natrona County International Airport,KCPR,CPR,,Yampa Valley,KHDN,HDN,Corporate Air,CPT,8810,CPT8810,CPT8810,42.8972751,-106.4648786,40.4847488,-107.2197265
10,01/01/2022,Gallatin Field,KBZN,BZN,,Billings,KBIL,BIL,Alpine Air Express,AIP,2503,5A2503,AIP2503,45.7784043,-111.1612273,45.8035081,-108.5379142
11,01/01/2022,Kahului,PHOG,OGG,2022-01-01T13:27:00+00:00,Billings,KLAX,LAX,Qantas,QFA,3651,QF3651,QFA3651,20.894598,-156.4360744,33.9415889,-118.40853
12,01/01/2022,Kahului,PHOG,OGG,2022-01-01T09:58:00+00:00,San Diego International Airport,KSAN,SAN,empty,,,,,20.894598,-156.4360744,32.7338006,-117.1933038
13,01/01/2022,Piedmont Triad International,KGSO,GSO,2022-01-01T15:53:00+00:00,Ronald Reagan Washington National Airport,KDCA,DCA,American Airlines,AAL,5354,AA5354,AAL5354,36.1043671,-79.9351805,38.851242,-77.0402315
14,01/01/2022,Bradley International,KBDL,BDL,2022-01-01T15:58:00+00:00,Tampa International,KTPA,TPA,JetBlue Airways,JBU,533,B6533,JBU533,41.9388735,-72.6860314,27.9771524,-82.5311382
15,01/01/2022,Bradley International,KBDL,BDL,,Miami International Airport,KMIA,MIA,Spirit Airlines,NKS,3135,NK3135,NKS3135,41.9388735,-72.6860314,25.7958723,-80.2870509
16,01/01/2022,Bradley International,KBDL,BDL,2022-01-01T16:04:00+00:00,Fort Lauderdale–Hollywood International,KFLL,FLL,Southwest Airlines,SWA,2313,WN2313,SWA2313,41.9388735,-72.6860314,26.0742344,-80.1506022
17,01/01/2022,Searcy Field,KSWO,SWO,2022-01-01T14:41:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,9346,QR9346,QTR9346,36.158678,-97.0828728,32.8998091,-97.0403352
18,01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T11:26:00+00:00,Pullman-Moscow Regional Airport,KPUW,PUW,Korean Air,KAL,6237,KE6237,KAL6237,47.4502499,-122.3088165,46.7441801,-117.1141262
19,01/01/2022,Natrona County International Airport,KCPR,CPR,,Denver International,KDEN,DEN,United Airlines,UAL,4229,UA4229,UAL4229,42.8972751,-106.4648786,39.8560963,-104.6737376
20,01/01/2022,Natrona County International Airport,KCPR,CPR,,Sweetwater County,KRKS,RKS,Corporate Air,CPT,8807,CPT8807,CPT8807,42.8972751,-106.4648786,41.5988254,-109.0718882
21,01/01/2022,T. F. Green Airport,KPVD,PVD,2022-01-01T15:21:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,5144,AA5144,AAL5144,41.723536,-71.426957,35.2144026,-80.9473146
22,01/01/2022,T. F. Green Airport,KPVD,PVD,2022-01-01T17:56:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,3409,WN3409,SWA3409,41.723536,-71.426957,28.4179167,-81.3041451
23,01/01/2022,T. F. Green Airport,KPVD,PVD,2022-01-01T16:46:00+00:00,Newark Liberty International,KEWR,EWR,Air Canada,ACA,3109,AC3109,ACA3109,41.723536,-71.426957,40.6895314,-74.1744624
24,01/01/2022,Culebra,TJCP,CPX,2022-01-01T17:01:00+00:00,Isla Grande,TJIG,SIG,Air Flamenco,WAF,2104,F42104,WAF2104,18.3124647,-65.3038902,18.4557662,-66.0979534
25,01/01/2022,Culebra,TJCP,CPX,2022-01-01T17:00:00+00:00,Luis Munoz Marin International,TJSJ,SJU,JetBlue Airways,JBU,5142,B65142,JBU5142,18.3124647,-65.3038902,18.4339085,-65.9956193
26,01/01/2022,Williams Gateway,KIWA,AZA,,Metropolitan Oak International,KOAK,OAK,Allegiant Air,AAY,1409,G41409,AAY1409,33.3089787,-111.6559352,37.7125689,-122.2197428
27,01/01/2022,Corpus Christi International Airport,KCRP,CRP,2022-01-01T14:48:00+00:00,Dallas/Fort Worth International,KDFW,DFW,British Airways,BAW,5243,BA5243,BAW5243,27.7724235,-97.5021829,32.8998091,-97.0403352
28,01/01/2022,Barnstable,KHYA,HYA,,International Jetport,KPWM,PWM,Cape Air,KAP,412,9K412,KAP412,41.6673379,-70.2847445,43.6464785,-70.3096974
29,01/01/2022,Campbell County,KGCC,GCC,2022-01-01T14:28:00+00:00,Denver International,KDEN,DEN,United Airlines,UAL,5077,UA5077,UAL5077,44.3486031,-105.5377317,39.8560963,-104.6737376
30,01/01/2022,Spokane International,KGEG,GEG,2022-01-01T14:19:00+00:00,Sky Harbor International,KPHX,PHX,Southwest Airlines,SWA,2386,WN2386,SWA2386,47.6212063,-117.5333722,33.435249,-112.010124
31,01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T11:27:00+00:00,Spokane International,KGEG,GEG,Korean Air,KAL,3059,KE3059,KAL3059,47.4502499,-122.3088165,47.6212063,-117.5333722
32,01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T13:29:00+00:00,Spokane International,KGEG,GEG,Korean Air,KAL,6013,KE6013,KAL6013,47.4502499,-122.3088165,47.6212063,-117.5333722
33,01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T12:48:00+00:00,Spokane International,KGEG,GEG,Singapore Airlines,SIA,1230,SQ1230,SIA1230,47.4502499,-122.3088165,47.6212063,-117.5333722
34,01/01/2022,Sun Valley,KSUN,SUN,2022-01-01T08:50:00+00:00,Palm Springs Metropolitan Area,KPSP,PSP,AirSF Flight Services,XSN,61,,XSN61,43.5065471,-114.3012455,33.8303194,-116.5070468
35,01/01/2022,Sun Valley,KSUN,SUN,,John Wayne,KSNA,SNA,Flexjet,LXJ,347,LXJ347,LXJ347,43.5065471,-114.3012455,33.6761901,-117.8674759
36,01/01/2022,Salt Lake City International,KSLC,SLC,,Sun Valley,KSUN,SUN,Corporate Air,CPT,8827,CPT8827,CPT8827,40.7899404,-111.9790706,43.5065471,-114.3012455
37,01/01/2022,Dallas/Fort Worth International,KDFW,DFW,2022-01-01T12:42:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,American Airlines,AAL,1008,AA1008,AAL1008,32.8998091,-97.0403352,33.6407282,-84.4277001
38,01/01/2022,Miami International Airport,KMIA,MIA,2022-01-01T14:52:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Delta Air Lines,DAL,2702,DL2702,DAL2702,25.7958723,-80.2870509,33.6407282,-84.4277001
39,01/01/2022,Philadelphia International,KPHL,PHL,2022-01-01T13:58:00+00:00,Hartsfield-jackson Atlanta International,KATL,ATL,Spirit Airlines,NKS,877,NK877,NKS877,39.8729299,-75.2436673,33.6407282,-84.4277001
40,01/01/2022,Kansas City International Airport,KMCI,MCI,2022-01-01T17:20:00+00:00,Metropolitan Oak International,KOAK,OAK,Southwest Airlines,SWA,1575,WN1575,SWA1575,39.3035862,-94.7092596,37.7125689,-122.2197428
41,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:28:00+00:00,Denver International,KDEN,DEN,Southwest Airlines,SWA,3649,WN3649,SWA3649,39.9999399,-82.8871767,39.8560963,-104.6737376
42,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:48:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,1253,WN1253,SWA1253,39.9999399,-82.8871767,28.4179167,-81.3041451
43,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:48:00+00:00,John F Kennedy International,KJFK,JFK,JetBlue Airways,JBU,4777,B64777,JBU4777,39.9999399,-82.8871767,40.6413113,-73.7781383
44,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:51:00+00:00,Miami International Airport,KMIA,MIA,Qatar Airways,QTR,2475,QR2475,QTR2475,39.9999399,-82.8871767,25.7958723,-80.2870509
45,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T15:59:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,4676,AA4676,AAL4676,39.9999399,-82.8871767,35.2144026,-80.9473146
46,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T16:02:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,6279,AS6279,ASA6279,39.9999399,-82.8871767,32.8998091,-97.0403352
47,01/01/2022,Port Columbus International,KCMH,CMH,,Orlando International,KMCO,MCO,Spirit Airlines,NKS,1217,NK1217,NKS1217,39.9999399,-82.8871767,28.4179167,-81.3041451
48,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T16:15:00+00:00,Love Field,KDAL,DAL,Southwest Airlines,SWA,1517,WN1517,SWA1517,39.9999399,-82.8871767,32.8481029,-96.8512063
49,01/01/2022,Port Columbus International,KCMH,CMH,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2414,AF2414,AFR2414,39.9999399,-82.8871767,33.6407282,-84.4277001
50,01/01/2022,Port Columbus International,KCMH,CMH,2022-01-01T16:22:00+00:00,John F Kennedy International,KJFK,JFK,Air France,AFR,2836,AF2836,AFR2836,39.9999399,-82.8871767,40.6413113,-73.7781383
51,01/01/2022,University Of Illinois Willard,KCMI,CMI,2022-01-01T15:44:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,7630,QR7630,QTR7630,40.0364962,-88.2639879,32.8998091,-97.0403352
52,01/01/2022,Tri-cities,KPSC,PSC,2022-01-01T18:17:00+00:00,Seattle-Tacoma International,KSEA,SEA,Alaska Airlines,ASA,2259,AS2259,ASA2259,46.2631697,-119.1175903,47.4502499,-122.3088165
53,01/01/2022,Chicago O'hare International,KORD,ORD,2022-01-01T09:57:00+00:00,Outagamie County,KATW,ATW,Air Wisconsin,AWI,9413,ZW9413,AWI9413,41.98028,-87.9089979,44.2605,-88.5111
54,01/01/2022,Tri-cities,KPSC,PSC,2022-01-01T13:26:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,3782,DL3782,DAL3782,46.2631697,-119.1175903,40.7899404,-111.9790706
55,01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T11:50:00+00:00,Tri-cities,KPSC,PSC,Korean Air,KAL,3137,KE3137,KAL3137,47.4502499,-122.3088165,46.2631697,-119.1175903
56,01/01/2022,Spokane International,KGEG,GEG,,Tri-cities,KPSC,PSC,Empire Airlines,CFS,8804,EM8804,CFS8804,47.6212063,-117.5333722,46.2631697,-119.1175903
57,01/01/2022,Boeing Field/King County International Airport,KBFI,BFI,,Tri-cities,KPSC,PSC,Ameriflight,AMF,1988,A81988,AMF1988,47.5369043,-122.3038555,46.2631697,-119.1175903
58,01/01/2022,Lihue,PHLI,LIH,2022-01-01T11:02:00+00:00,Mineta San Jose International Airport,KSJC,SJC,Alaska Airlines,ASA,844,AS844,ASA844,21.9788489,-159.3437585,37.3639472,-121.9289375
59,01/01/2022,Joe Foss Field Airport,KFSD,FSD,2022-01-01T14:50:00+00:00,Chicago O'hare International,KORD,ORD,Alaska Airlines,ASA,6642,AS6642,ASA6642,43.5828065,-96.7402171,41.98028,-87.9089979
60,01/01/2022,Palm Springs Metropolitan Area,KPSP,PSP,2022-01-01T13:02:00+00:00,Love Field,KDAL,DAL,Southwest Airlines,SWA,3189,WN3189,SWA3189,33.8303194,-116.5070468,32.8481029,-96.8512063
61,01/01/2022,Palm Springs Metropolitan Area,KPSP,PSP,2022-01-01T12:50:00+00:00,Salt Lake City International,KSLC,SLC,Delta Air Lines,DAL,4018,DL4018,DAL4018,33.8303194,-116.5070468,40.7899404,-111.9790706
62,01/01/2022,Denver International,KDEN,DEN,2022-01-01T12:43:00+00:00,Palm Springs Metropolitan Area,KPSP,PSP,Air Canada,ACA,5144,AC5144,ACA5144,39.8560963,-104.6737376,33.8303194,-116.5070468
63,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:18:00+00:00,Denver International,KDEN,DEN,Volaris,VOI,2671,Y42671,VOI2671,30.1974711,-97.6663529,39.8560963,-104.6737376
64,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:05:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,885,AA885,AAL885,30.1974711,-97.6663529,35.2144026,-80.9473146
65,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:09:00+00:00,Sarasota/Bradenton International,KSRQ,SRQ,Southwest Airlines,SWA,1548,WN1548,SWA1548,30.1974711,-97.6663529,27.3951191,-82.5538197
66,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:24:00+00:00,El Paso International Airport,KELP,ELP,Southwest Airlines,SWA,2233,WN2233,SWA2233,30.1974711,-97.6663529,31.8053354,-106.3824345
67,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T14:36:00+00:00,John Wayne,KSNA,SNA,Southwest Airlines,SWA,2680,WN2680,SWA2680,30.1974711,-97.6663529,33.6761901,-117.8674759
68,01/01/2022,Austin-bergstrom International,KAUS,AUS,2022-01-01T13:38:00+00:00,Pittsburgh International,KPIT,PIT,United Airlines,UAL,3301,UA3301,UAL3301,30.1974711,-97.6663529,40.4919208,-80.2352233
