flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
01/01/2022,Detroit Metropolitan Wayne County,KDTW,DTW,2022-01-01T14:29:00+00:00,Lehigh Valley International,KABE,ABE,KLM,KLM,5532,KL5532,KLM5532,,,,
01/01/2022,Quad-City,KMLI,MLI,,Hartsfield-jackson Atlanta International,KATL,ATL,Air France,AFR,2228,AF2228,AFR2228,,,,
01/01/2022,Dallas/Fort Worth International,KDFW,DFW,,Quad-City,KMLI,MLI,Qatar Airways,QTR,9060,QR9060,QTR9060,,,,
01/01/2022,Chicago O'hare International,KORD,ORD,2022-01-01T14:47:00+00:00,Philadelphia International,KPHL,PHL,United Airlines,UAL,578,UA578,UAL578,,,,
01/01/2022,Hilton Head,KHXD,HHH,2022-01-01T11:33:00+00:00,Nashville International,KBNA,BNA,empty,,,,,,,,
01/01/2022,Bradley International,KBDL,BDL,2022-01-01T13:39:00+00:00,Gallatin Field,KBZN,BZN,NetJets Aviation,EJA,607,1I607,EJA607,,,,
01/01/2022,Hector Field,KFAR,FAR,2022-01-01T14:11:00+00:00,Municipal/Baer Field,KFWA,FWA,United Airlines,UAL,6973,UA6973,UAL6973,,,,
01/01/2022,Ted Stevens Anchorage International Airport,PANC,ANC,2022-01-01T09:52:00+00:00,Chicago O'hare International,KORD,ORD,Atlas Air,GTI,7832,5Y7832,GTI7832,,,,
01/01/2022,Savannah/Hilton Head,KSAV,SAV,2022-01-01T15:21:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Alaska Airlines,ASA,4212,AS4212,ASA4212,,,,
01/01/2022,Natrona County International Airport,KCPR,CPR,,Yampa Valley,KHDN,HDN,Corporate Air,CPT,8810,CPT8810,CPT8810,,,,
01/01/2022,Gallatin Field,KBZN,BZN,,Billings,KBIL,BIL,Alpine Air Express,AIP,2503,5A2503,AIP2503,,,,
01/01/2022,Kahului,PHOG,OGG,2022-01-01T13:27:00+00:00,Los Angeles International,KLAX,LAX,Qantas,QFA,3651,QF3651,QFA3651,,,,
01/01/2022,Kahului,PHOG,OGG,2022-01-01T09:58:00+00:00,San Diego International Airport,KSAN,SAN,empty,,,,,,,,
01/01/2022,Piedmont Triad International,KGSO,GSO,2022-01-01T15:53:00+00:00,Ronald Reagan Washington National Airport,KDCA,DCA,American Airlines,AAL,5354,AA5354,AAL5354,,,,
01/01/2022,Bradley International,KBDL,BDL,2022-01-01T15:58:00+00:00,Tampa International,KTPA,TPA,JetBlue Airways,JBU,533,B6533,JBU533,,,,
01/01/2022,Bradley International,KBDL,BDL,,Miami International Airport,KMIA,MIA,Spirit Airlines,NKS,3135,NK3135,NKS3135,,,,
01/01/2022,Bradley International,KBDL,BDL,2022-01-01T16:04:00+00:00,Fort Lauderdale–Hollywood International,KFLL,FLL,Southwest Airlines,SWA,2313,WN2313,SWA2313,,,,
01/01/2022,Searcy Field,KSWO,SWO,2022-01-01T14:41:00+00:00,Dallas/Fort Worth International,KDFW,DFW,Qatar Airways,QTR,9346,QR9346,QTR9346,,,,
01/01/2022,Seattle-Tacoma International,KSEA,SEA,2022-01-01T11:26:00+00:00,Pullman-Moscow Regional Airport,KPUW,PUW,Korean Air,KAL,6237,KE6237,KAL6237,,,,
01/01/2022,Natrona County International Airport,KCPR,CPR,,Denver International,KDEN,DEN,United Airlines,UAL,4229,UA4229,UAL4229,,,,
01/01/2022,Natrona County International Airport,KCPR,CPR,,Sweetwater County,KRKS,RKS,Corporate Air,CPT,8807,CPT8807,CPT8807,,,,
01/01/2022,T. F. Green Airport,KPVD,PVD,2022-01-01T15:21:00+00:00,Charlotte Douglas,KCLT,CLT,American Airlines,AAL,5144,AA5144,AAL5144,,,,
01/01/2022,T. F. Green Airport,KPVD,PVD,2022-01-01T17:56:00+00:00,Orlando International,KMCO,MCO,Southwest Airlines,SWA,3409,WN3409,SWA3409,,,,
01/01/2022,T. F. Green Airport,KPVD,PVD,2022-01-01T16:46:00+00:00,Newark Liberty International,KEWR,EWR,Air Canada,ACA,3109,AC3109,ACA3109,,,,
01/01/2022,Culebra,TJCP,CPX,2022-01-01T17:01:00+00:00,Isla Grande,TJIG,SIG,Air Flamenco,WAF,2104,F42104,WAF2104,,,,
01/01/2022,Culebra,TJCP,CPX,2022-01-01T17:00:00+00:00,Luis Munoz Marin International,TJSJ,SJU,JetBlue Airways,JBU,5142,B65142,JBU5142,,,,
01/01/2022,Williams Gateway,KIWA,AZA,,Metropolitan Oak International,KOAK,OAK,Allegiant Air,AAY,1409,G41409,AAY1409,,,,
01/01/2022,Corpus Christi International Airport,KCRP,CRP,2022-01-01T14:48:00+00:00,Dallas/Fort Worth International,KDFW,DFW,British Airways,BAW,5243,BA5243,BAW5243,,,,
01/01/2022,Barnstable,KHYA,HYA,,International Jetport,KPWM,PWM,Cape Air,KAP,412,9K412,KAP412,,,,
01/01/2022,Campbell County,KGCC,GCC,2022-01-01T14:28:00+00:00,Denver International,KDEN,DEN,United Airlines,UAL,5077,UA5077,UAL5077,,,,
